,OR,date,s_min,s_max,s_skew,s_kurt,d_min,d_max,d_skew,d_kurt,i_min,i_max,i_skew,i_kurt,c_min,c_max,c_skew,c_kurt
109,3474,20210426,29452,36050,-0.9622257625786611,-0.6155249903131246,26541,32765,-0.9699022208915614,-0.5823451648629652,333.494,396.619,-0.9787611897419813,-0.15914270348054638,220.783,262.574,-0.9787768615427743,-0.15909350270092038
110,3169,20210427,29452,36050,-1.0059354123378137,-0.6154065686680226,26541,32765,-1.0055306368434787,-0.5765761702396088,333.494,396.619,-1.0246954553607586,-0.16871096340435532,220.783,262.574,-1.0247053046532035,-0.1686557445366228
111,3296,20210428,29452,36050,-0.9760138185994818,-0.613404793399424,26541,32765,-0.984887478947893,-0.5696092991424582,333.494,396.619,-1.017697383895706,-0.15445764951501806,220.783,262.574,-1.0177087670775617,-0.1544011758358521
112,3058,20210429,29452,35469,-0.9148814062752936,-0.6251378656716575,26541,32135,-0.924721481978649,-0.6035869017030047,333.494,391.396,-1.104289344108991,0.0938730640475991,220.783,259.117,-1.1043003649675498,0.09395248784705856
113,2884,20210430,29452,35241,-0.4326764972196205,-1.2212954743823077,26541,31767,-0.44485304343121934,-1.216326799550919,333.494,385.759,-0.67466788830255,-0.7182013303086463,220.783,255.384,-0.6747203233642878,-0.7181036276127486
114,2975,20210501,29452,35241,-0.33165342013334054,-1.5409175116724871,26541,31767,-0.33210481945665354,-1.5470598084710532,311.066,385.759,-0.7152965143391887,-0.9218941175192183,204.108,255.384,-0.7635252838452228,-0.8186786437914666
115,3234,20210502,30174,35241,-0.24233518887804573,-1.6568627047306796,27208,31767,-0.2369462403515009,-1.6815420361181688,303.82,385.759,-0.6798576514162205,-1.2515969181453823,199.353,255.384,-0.6963836910903898,-1.2409013276101348
116,3360,20210503,30174,35241,-0.23374973984880323,-1.6814854922337166,27208,31767,-0.21950250514409406,-1.696434117964351,303.82,385.759,-0.4374630677647785,-1.331656705073147,199.353,255.384,-0.42602271399916325,-1.3495177571062036
117,3578,20210504,30174,36402,-0.03443988100105608,-1.5107940413601946,27208,33042,-0.012566910705714168,-1.5273125816714161,303.82,385.048,-0.4787222194903304,-1.218970535703796,199.353,254.914,-0.448387273877749,-1.2195097252551705
118,3465,20210505,30174,36402,-0.040106681575232055,-1.6429673409961851,27208,33042,-0.03015523554846907,-1.6509893321887112,303.82,375.604,-0.6608610235341461,-1.1525551384084902,199.353,248.662,-0.6357877915159009,-1.1383775204157975
119,3518,20210506,30174,36541,-0.2688103930070936,-1.7752386831368263,27208,33076,-0.27490885647727276,-1.7787256641635856,303.82,366.743,-0.7927403163092077,-1.1242731432667914,199.353,240.64,-0.8216236258068665,-1.115069847592744
120,3305,20210507,30174,37704,-0.746291300309304,-1.1810964581956411,27208,34186,-0.74882774639364,-1.1705362358623845,303.82,375.86,-0.7459147463078591,-1.1549461130234133,199.353,246.623,-0.7459322944302277,-1.1549140590916898
121,2975,20210508,30183,37704,-1.0989270799165223,0.09803907877448603,27208,34186,-1.0878300643056058,0.07190427214522854,303.82,375.86,-1.4277438041779562,0.8867129225009118,199.353,246.623,-1.4278079257915088,0.8868758468886919
