,OR,date,s_min,s_max,s_skew,s_kurt,d_min,d_max,d_skew,d_kurt,i_min,i_max,i_skew,i_kurt,c_min,c_max,c_skew,c_kurt
188,3394,20210710,38367,42021,-0.6974274107208558,-1.5000000000000042,34556,38163,-0.7013586185890349,-1.5,378.088,403.433,-0.7006367239195522,-1.500000000000009,296.299,316.161,-0.7006414587993715,-1.4999999999999942
189,3464,20210711,35564,42021,0.15971454144638242,-1.4999999999999991,32170,38163,0.2433086666052116,-1.5,355.057,403.433,0.058502166377031,-1.4999999999999996,278.25,316.161,0.05848862278048534,-1.5000000000000007
190,2872,20210712,35564,41676,0.10097069523556318,-1.4999999999999996,32170,38212,0.25061515175963256,-1.5000000000000009,355.057,397.141,-0.11513959353161418,-1.5000000000000004,278.25,311.231,-0.11511998452907277,-1.5
191,3832,20210713,35564,41676,-0.7043331219638781,-1.4999999999999978,32170,38599,-0.6979516754989522,-1.5,355.057,400.389,-0.6940051233413548,-1.5,278.25,313.775,-0.6940193072744744,-1.5
192,4013,20210714,41471,41831,-0.1681147824138884,-1.499999999999989,37999,38599,0.33756352386944205,-1.5,397.141,400.389,0.3219948584061458,-1.4999999999999825,311.231,313.775,0.3227359694974713,-1.499999999999977
193,4235,20210715,41471,41831,-0.6993411305021796,-1.4999999999999587,37798,38599,0.5265940208977441,-1.5,397.561,400.389,0.500434250705222,-1.5000000000000635,311.56,313.775,0.5010983912124716,-1.4999999999999591
194,4113,20210716,41768,41831,-0.41270118615682205,-1.4999999999998475,37533,37999,-0.16628211264129625,-1.5000000000000084,393.225,398.318,-0.6472242977068858,-1.5000000000000655,308.162,312.152,-0.6474480869131778,-1.5000000000000002
195,4457,20210717,38029,41811,-0.7067947886722941,-1.4999999999999998,33916,37798,-0.6952490027052629,-1.5000000000000036,367.478,397.561,-0.6509720195212527,-1.499999999999997,287.984,311.56,-0.6509760599312445,-1.500000000000009
196,3338,20210718,36118,41768,0.3720056779736935,-1.5000000000000013,31661,37533,0.27495003839988785,-1.5000000000000002,348.591,393.225,0.18554668400053068,-1.4999999999999982,273.183,308.162,0.1855775358251052,-1.4999999999999993
197,4042,20210719,36118,41902,0.38762290266311183,-1.5,31661,38564,0.39493545565549837,-1.4999999999999987,348.591,394.862,0.2203384350841982,-1.5,273.183,309.444,0.22034452040509037,-1.4999999999999964
198,5476,20210720,36118,42038,-0.7058185945378767,-1.4999999999999976,31661,38564,-0.6896693565260791,-1.5000000000000018,348.591,399.801,-0.682866510372116,-1.5000000000000044,273.183,313.315,-0.6828609272826885,-1.5000000000000002
199,5400,20210721,41902,42806,0.6456830811431721,-1.4999999999999845,37330,38564,-0.09689112281381886,-1.4999999999999984,393.312,399.801,0.5443564822180894,-1.499999999999955,308.229,313.315,0.5443202225362664,-1.500000000000019
200,5657,20210722,41895,42806,0.6399408420900321,-1.5000000000000155,36495,37996,-0.13683353332756418,-1.5000000000000016,387.723,399.801,0.09095372245728431,-1.500000000000001,303.849,313.315,0.09103503103322089,-1.5000000000000018
201,4373,20210723,41423,42806,0.36582909359269855,-1.5000000000000062,35766,37330,0.08277445744622011,-1.5000000000000009,380.849,393.312,-0.12546093896881624,-1.5000000000000004,298.462,308.229,-0.12545744609242662,-1.5
202,3494,20210724,35354,41895,-0.693811662804236,-1.4999999999999976,30981,36495,-0.6602786223188529,-1.5,347.322,387.723,-0.6275142262528772,-1.499999999999997,272.189,303.849,-0.6275070209488075,-1.4999999999999998
203,4518,20210725,35354,41423,0.70609032118835,-1.5000000000000027,30981,35766,0.583515780335104,-1.5000000000000029,342.3,380.849,0.6617024896915181,-1.5000000000000002,268.253,298.462,0.6616904040398475,-1.499999999999997
204,3950,20210726,35354,42650,0.7064057948142848,-1.5000000000000018,30981,38132,0.6540946182337729,-1.5,342.3,392.278,0.6807078846072561,-1.5000000000000047,268.253,307.42,0.6807032107549281,-1.5000000000000029
205,3033,20210727,35478,42794,-0.706164144000043,-1.4999999999999984,31984,38844,-0.6788675144537042,-1.4999999999999998,342.3,405.404,-0.5855066251654242,-1.5000000000000029,268.253,317.705,-0.5855391506200486,-1.5000000000000007
206,3834,20210728,41670,42794,-0.6632669678204841,-1.4999999999999873,38132,38844,-0.4616106629967485,-1.500000000000015,392.278,406.941,-0.6782796876516454,-1.5,307.42,318.91,-0.6782498029440911,-1.4999999999999998
207,3833,20210729,41670,42794,0.5087847319413276,-1.4999999999999998,38131,38844,-0.46232503669577274,-1.4999999999999847,401.848,406.941,-0.44187158143512284,-1.4999999999999998,314.919,318.91,-0.44161244546648826,-1.4999999999999998
208,5201,20210730,40884,41965,-0.4919316093990451,-1.4999999999999896,37051,38637,-0.4096829988841892,-1.500000000000006,392.216,406.941,-0.35647406533207543,-1.4999999999999913,307.37,318.91,-0.35654338742343195,-1.5
209,5486,20210731,36626,41965,-0.5922304786766497,-1.5000000000000004,31425,38131,-0.6362129075374595,-1.5000000000000018,351.098,401.848,-0.6068827332785323,-1.500000000000002,275.148,314.919,-0.6068620440756692,-1.5
210,4516,20210801,35541,40884,0.5915145974381021,-1.4999999999999973,30055,37051,0.6000419441519257,-1.4999999999999982,351.098,601.024,0.6329563550338482,-1.5000000000000009,275.148,332.836,-0.1422381105539859,-1.5000000000000007
211,5591,20210802,35541,39204,0.4519246223936896,-1.4999999999999971,30055,34688,0.4528174496176499,-1.4999999999999998,351.098,677.008,-0.5524509991963821,-1.4999999999999993,275.148,374.915,-0.18878054462176674,-1.4999999999999993
212,4495,20210803,35541,41033,-0.38240486967721665,-1.500000000000002,30055,35442,-0.6543272830996197,-1.5000000000000002,601.024,696.962,-0.5855280066216952,-1.499999999999996,332.836,385.965,-0.585533127012918,-1.5000000000000056
213,4526,20210804,39204,41033,-0.4368506977060364,-1.5000000000000058,34688,35981,-0.20025017151737007,-1.4999999999999964,677.008,702.568,-0.5711275802132528,-1.4999999999999916,374.915,389.07,-0.5710883114896425,-1.5
